,id,Region,Altitude,Productor,Price,Points,Quality,Precio_final,Calidad,Quality_map,Region_map,Productor_map
0,1,El Oro,1500,Goicoechea y Tapia S.L.,6.78,90.58,Excepcional,9.547497718859598,3.0,3.0,0,0
1,2,Sucumbios,1300,Chelo Palomar Mancebo S.A.,9.19,89.92,Excelente,10.838889716831687,2.0,2.0,1,1
2,3,El Oro,1300,Baquero & Asociados S.Coop.,7.8,89.75,Excelente,9.98457806914874,2.0,2.0,0,2
3,4,El Oro,1400,Familia Soto S.A.,9.03,89.0,Excelente,10.692216785966359,2.0,2.0,0,3
4,5,Sucumbios,1300,Familia Soto S.A.,7.6,88.83,Excelente,9.829238763657361,2.0,2.0,1,3
5,6,Loja,1300,Baquero & Asociados S.Coop.,8.91,88.83,Excelente,10.436536689126244,2.0,2.0,2,2
6,7,El Oro,1700,Chelo Palomar Mancebo S.A.,6.93,88.75,Excelente,8.876741664717958,2.0,2.0,0,1
7,8,El Oro,1600,Comercializadora Múgica & Asociados S.Com.,9.88,88.67,Excelente,11.70532410623127,2.0,2.0,0,4
8,9,Loja,1200,Hermanos Miranda S.C.P,9.47,88.42,Excelente,11.304329383345964,2.0,2.0,2,5
9,10,Manabí,1700,Chelo Palomar Mancebo S.A.,8.38,88.25,Excelente,10.251213741869956,2.0,2.0,3,1
10,11,Manabí,1300,Familia Serra S.L.,6.67,88.08,Excelente,8.716340470832757,2.0,2.0,3,6
11,12,Manabí,1600,Fabián Santamaria Carlos S.L.L.,8.2,87.92,Excelente,9.801104187386956,2.0,2.0,3,7
12,13,Loja,1500,Chelo Palomar Mancebo S.A.,5.3,87.92,Excelente,7.609828411965572,2.0,2.0,2,1
13,14,El Oro,1400,Fabián Santamaria Carlos S.L.L.,6.45,87.92,Excelente,8.114310700938276,2.0,2.0,0,7
14,15,Loja,1500,Familia Soto S.A.,7.5,87.83,Excelente,9.585195991308147,2.0,2.0,2,3
15,16,El Oro,1400,Goicoechea y Tapia S.L.,7.3,87.58,Excelente,9.460046820794046,2.0,2.0,0,0
16,17,El Oro,1700,Goicoechea y Tapia S.L.,7.93,87.42,Excelente,9.653737032082729,2.0,2.0,0,0
17,18,Orellana,1400,Goicoechea y Tapia S.L.,5.73,87.33,Excelente,7.794247996862076,2.0,2.0,4,0
18,19,Manabí,1200,Baquero & Asociados S.Coop.,9.28,87.25,Excelente,10.716703571105642,2.0,2.0,3,2
19,20,Manabí,1600,Inmobiliaria Calderon & Asociados S.L.N.E,7.89,87.25,Excelente,9.7019526297281,2.0,2.0,3,8
20,21,El Oro,1400,Fabián Santamaria Carlos S.L.L.,8.99,87.25,Excelente,11.095804036177613,2.0,2.0,0,7
21,22,Manabí,1500,Hermanos Miranda S.C.P,5.8,87.17,Excelente,7.787865172674396,2.0,2.0,3,5
22,23,Manabí,1400,Inmobiliaria Calderon & Asociados S.L.N.E,6.37,87.17,Excelente,8.728642573051358,2.0,2.0,3,8
23,24,Orellana,1300,Inmobiliaria Calderon & Asociados S.L.N.E,7.45,87.08,Excelente,9.180631926596485,2.0,2.0,4,8
24,25,Orellana,1700,Teófilo Villanueva Riquelme S.L.,5.57,87.08,Excelente,7.744605346457006,2.0,2.0,4,9
25,26,Manabí,1300,Baquero & Asociados S.Coop.,8.31,86.92,Excelente,10.565139711329993,2.0,2.0,3,2
26,27,El Oro,1200,Teófilo Villanueva Riquelme S.L.,6.77,86.92,Excelente,8.773839851467011,2.0,2.0,0,9
27,28,Zamora Chinchipe,1200,Familia Serra S.L.,6.84,86.83,Excelente,8.308048763751662,2.0,2.0,5,6
28,29,Orellana,1500,Comercializadora Múgica & Asociados S.Com.,9.38,86.67,Excelente,11.490090118487942,2.0,2.0,4,4
29,30,Zamora Chinchipe,1600,Fabián Santamaria Carlos S.L.L.,6.61,86.58,Excelente,8.970401579772735,2.0,2.0,5,7
30,31,Zamora Chinchipe,1300,Familia Soto S.A.,8.22,86.58,Excelente,10.39093574353399,2.0,2.0,5,3
31,32,Orellana,1600,Familia Serra S.L.,7.07,86.5,Excelente,9.316378485784957,2.0,2.0,4,6
32,33,El Oro,1700,Baquero & Asociados S.Coop.,7.31,86.42,Excelente,10.009389239460502,2.0,2.0,0,2
33,34,Imbabura,1500,Teófilo Villanueva Riquelme S.L.,9.9,86.33,Excelente,11.853503779451657,2.0,2.0,6,9
34,35,Zamora Chinchipe,1300,Goicoechea y Tapia S.L.,8.03,86.25,Excelente,9.725936003543517,2.0,2.0,5,0
35,36,Sucumbios,1500,Familia Soto S.A.,9.54,86.25,Excelente,11.782646060229295,2.0,2.0,1,3
36,37,Loja,1600,Baquero & Asociados S.Coop.,9.22,86.25,Excelente,10.789990771954193,2.0,2.0,2,2
37,38,El Oro,1600,Fabián Santamaria Carlos S.L.L.,9.22,86.25,Excelente,11.285934785878693,2.0,2.0,0,7
38,39,Sucumbios,1300,Hermanos Miranda S.C.P,9.08,86.25,Excelente,10.852810038463168,2.0,2.0,1,5
39,40,El Oro,1600,Fabián Santamaria Carlos S.L.L.,7.22,86.17,Excelente,8.888938392526041,2.0,2.0,0,7
40,41,El Oro,1500,Familia Soto S.A.,7.46,86.17,Excelente,9.107797728130034,2.0,2.0,0,3
41,42,Loja,1500,Chelo Palomar Mancebo S.A.,6.05,86.17,Excelente,8.34805024105454,2.0,2.0,2,1
42,43,Loja,1700,Familia Soto S.A.,8.31,86.17,Excelente,10.600768029590025,2.0,2.0,2,3
43,44,Orellana,1700,Teófilo Villanueva Riquelme S.L.,8.1,86.08,Excelente,10.202501600222252,2.0,2.0,4,9
44,45,Manabí,1400,Fabián Santamaria Carlos S.L.L.,6.48,86.08,Excelente,8.19293072010683,2.0,2.0,3,7
45,46,Zamora Chinchipe,1700,Inmobiliaria Calderon & Asociados S.L.N.E,7.69,86.08,Excelente,10.082381904232815,2.0,2.0,5,8
46,47,Manabí,1200,Baquero & Asociados S.Coop.,5.9,86.0,Excelente,7.549797791852701,2.0,2.0,3,2
47,48,Imbabura,1400,Fabián Santamaria Carlos S.L.L.,8.67,86.0,Excelente,11.01286828080158,2.0,2.0,6,7
48,49,Zamora Chinchipe,1700,Goicoechea y Tapia S.L.,9.46,86.0,Excelente,11.150443653377602,2.0,2.0,5,0
49,50,Loja,1300,Familia Soto S.A.,7.91,86.0,Excelente,9.618458812748283,2.0,2.0,2,3
50,51,Manabí,1200,Hermanos Miranda S.C.P,8.74,86.0,Excelente,10.159604119301054,2.0,2.0,3,5
51,52,Imbabura,1400,Baquero & Asociados S.Coop.,5.38,86.0,Excelente,7.253021266281121,2.0,2.0,6,2
52,53,El Oro,1500,Comercializadora Múgica & Asociados S.Com.,5.1,85.92,Excelente,7.040829207605216,2.0,2.0,0,4
53,54,Manabí,1400,Comercializadora Múgica & Asociados S.Com.,9.8,85.92,Excelente,11.65361381585327,2.0,2.0,3,4
54,55,Orellana,1200,Teófilo Villanueva Riquelme S.L.,7.06,85.92,Excelente,8.475107499050099,2.0,2.0,4,9
55,56,Loja,1200,Goicoechea y Tapia S.L.,7.79,85.83,Excelente,9.747898964109341,2.0,2.0,2,0
56,57,Zamora Chinchipe,1400,Hermanos Miranda S.C.P,8.72,85.83,Excelente,10.621579182086208,2.0,2.0,5,5
57,58,Loja,1600,Inmobiliaria Calderon & Asociados S.L.N.E,9.58,85.83,Excelente,11.589655384297323,2.0,2.0,2,8
58,59,Imbabura,1400,Teófilo Villanueva Riquelme S.L.,9.15,85.83,Excelente,11.284860966774177,2.0,2.0,6,9
59,60,Sucumbios,1400,Baquero & Asociados S.Coop.,7.23,85.75,Excelente,8.99791663974197,2.0,2.0,1,2
